ID,LIMIT_BAL,PAY_0,BILL_AMT1,BILL_AMT2,PAY_AMT1
1241,50000,0,24915,23271,20541
1242,150000,0,5230,30945,30945
1243,50000,0,18515,17431,12125
1244,50000,0,12231,12155,9391
1245,150000,0,24915,23271,20541
1246,50000,0,17421,16271,13245
1247,50000,0,18515,17234,11943
1248,120000,3,117431,107151,3852
1249,100000,0,29725,27841,20541
1250,50000,0,7285,7104,6321
1251,50000,1,47582,41275,2185
1252,50000,0,17421,16271,13431
1253,200000,0,23055,22468,18445
1254,120000,1,115575,108198,2274
1255,200000,0,2945,23067,23067
1256,250000,2,43999,7515,200
1257,200000,0,54585,42806,24858
1258,200000,0,14181,12939,12445
1259,100000,0,13515,13071,10803
1260,50000,0,16164,16865,10168
1261,100000,0,19568,19223,13155
1262,50000,0,19585,17867,14746
1263,100000,3,96318,92989,606
1264,100000,0,25989,23172,21731
1265,100000,0,12407,11165,10586
1266,100000,3,98982,98759,3033
1267,100000,0,9709,10261,7241
1268,100000,0,19551,18967,16144
1269,200000,0,6230,15384,15384
1270,120000,2,114003,108101,4730
1271,120000,2,117441,117138,3582
1272,100000,0,30725,27933,21431
1273,150000,0,58180,50714,38790
1274,200000,0,7575,23227,23227
1275,200000,0,13262,12961,11434
1276,100000,0,18421,17272,12947
1277,200000,0,4217,15304,15304
1278,200000,0,62424,56995,36984
1279,100000,0,20290,17732,11367
1280,150000,0,19301,17515,12097
1281,200000,0,4952,27627,27627
1282,200000,0,18797,17341,13186
1283,150000,0,50735,46118,39762
1284,50000,1,48980,41153,4586
1285,100000,0,17364,18951,14762
1286,150000,0,7479,18437,18437
1287,50000,0,16165,17299,11794
1288,100000,1,94114,87218,3290
1289,150000,0,21395,22177,18234
1290,50000,2,49875,45938,4366
1291,150000,0,25709,24271,14183
1292,250000,2,46477,10487,400
1293,50000,0,14105,13878,9100
1294,50000,0,10674,11458,8429
1295,50000,2,48629,41061,3289
1296,50000,0,8968,8421,7382
1297,150000,0,4945,13931,13931
1298,150000,0,15361,14545,12179
1299,100000,0,35309,33704,27945
1300,50000,3,49995,42474,3136
1301,50000,2,49532,41275,3056
1302,100000,0,8287,8496,5890
1303,200000,0,26086,25003,16083
1304,150000,0,4543,29715,29715
1305,200000,0,13513,12958,10407
1306,150000,0,55319,56123,46971
1307,200000,0,30725,30457,25119
1308,50000,1,48582,40471,3940
1309,50000,0,14211,13654,9709
1310,50000,0,19515,19002,14295
1311,200000,0,25998,24217,17309
1312,150000,0,4223,20462,20462
1313,50000,3,49495,41917,4854
1314,50000,2,49815,45302,3392
1315,50000,0,18421,18965,12943
1316,50000,0,9709,9151,6740
1317,50000,0,19515,17271,11339
1318,50000,1,49385,44951,4002
1319,50000,0,18421,18967,14245
1320,50000,2,49685,42272,3423
1321,150000,0,4022,26485,26485
1322,100000,0,30725,28894,21541
